begin,end
00000125,00010815
00010412,00010706
00010451,00010654
00000796,00010172
00010646,00011008
00000437,00010087
00000647,00011025
00000152,00010399
00010502,00010885
00000548,00010088
00010561,00010996
00010376,00010807
00010601,00010629
00000207,00010094
00000537,00000767
00010412,00010980
00010384,00010667
00010011,00010175
00000132,00010740
00010108,00010556
00000593,00011028
00010540,00010824
00010414,00010893
00010141,00010664
00010045,00010068
00000277,00010585
00010185,00010811
00010013,00010028
00010130,00011026
00010503,00010610
00010162,00010978
00010135,00010355
00010340,00010908
00000381,00010878
00000168,00010012
00010475,00010676
00000997,00010312
00010130,00010513
00010484,00010905
00010484,00010934
00010330,00010989
00010035,00010197
00010041,00010170
00010357,00010756
00010169,00010879
00000565,00010308
00010061,00010898
00010303,00010485
00010148,00010316
00010472,00010705
00000351,00000629
00010052,00010303
00010459,00010474
00010023,00010058
00010219,00010755
00010475,00010930
00010034,00010735
00010181,00010697
00010358,00010436
00010648,00010836
00000869,00010288
00000151,00010723
00000790,00010345
00010447,00010727
00000291,00010509
00010119,00010916
00000168,00010194
00000791,00010923
00000283,00010075
00010013,00010130
00000194,00000398
00010127,00010919
00010690,00011033
00010667,00010808
00010596,00010970
00010173,00010447
00000917,00010175
00010060,00010275
00000637,00010387
00010152,00010503
00000123,00000635
00010067,00010175
00000702,00010904
00010360,00010369
00010178,00010297
00010476,00010510
00010333,00010652
00010041,00010216
00010023,00010553
00010061,00010948
00010297,00010866
00010870,00011017
00010077,00010145
00000635,00010061
00010056,00010148
00000411,00000681
00010036,00010350
00010740,00010827
00000450,00010156
00000387,00010924
00010072,00010756
00010081,00011035
00010179,00010895
00010206,00011012
00010961,00010965
00010230,00010836
00010131,00010884
00000539,00011027
00010039,00010572
00010459,00010522
00010010,00010304
00000457,00010175
00000492,00010644
00000194,00010169
00000168,00010037
00000973,00010766
00010351,00010722
00010167,00010327
00010026,00010716
00010151,00010166
00000548,00010073
00000147,00000667
00010441,00010522
00000487,00010689
00010039,00010502
00000153,00010179
00000181,00010321
00000492,00010922
00000371,00010588
00000608,00000666
00000777,00010807
00000151,00010384
00010517,00010668
00000152,00010488
00000371,00010280
00010054,00010066
00010492,00010881
00010189,00010811
00000207,00010119
00010038,00010049
00010362,00010469
00010193,00010894
00010004,00010008
00010360,00010694
00010080,00010553
00000309,00010044
00000796,00011026
00010151,00010940
00010012,00010173
00010078,00010989
00010278,00010780
00000547,00010398
00010011,00010047
00000902,00010618
